rank,K,hits,hit_rate_pct,mean_rank,p50_rank,p95_rank,dK,d_acc_pp,acc_per_dK_x100
1,1000,454,90.8,73.31,3,486,250,1.2,0.48
2,750,448,89.6,57.68,3,344,250,1.6,0.64
3,500,440,88.0,41.12,3,235,300,5.0,1.667
4,200,415,83.0,22.19,3,135,20,1.4,7.0
5,180,408,81.6,18.87,2,109,30,1.0,3.333
6,150,403,80.6,15.74,2,88,30,1.0,3.333
7,120,398,79.6,13.64,2,81,20,1.4,7.0
8,100,391,78.2,11.65,2,66,10,0.6,6.0
9,90,388,77.6,10.74,2,56,10,1.4,14.0
10,80,381,76.2,9.18,2,50,10,0.4,4.0
11,70,379,75.8,8.81,2,49,10,1.4,14.0
12,60,372,74.4,7.62,2,41,10,1.2,12.0
13,50,366,73.2,6.77,2,34,10,2.4,24.0
14,40,354,70.8,5.37,1,26,10,1.8,18.0
15,30,345,69.0,4.41,1,19,10,2.2,22.0
16,20,334,66.8,3.62,1,15,10,6.2,62.0
17,10,303,60.6,2.37,1,8,10,0,0.0
