K,hits,n,hit_rate_pct,mean_rank,p50_rank,p95_rank,n_hits_with_rank
10,303,500,60.6,2.37,1,8,303
20,334,500,66.8,3.62,1,15,334
30,345,500,69.0,4.41,1,19,345
40,354,500,70.8,5.37,1,26,354
50,366,500,73.2,6.77,2,34,366
60,372,500,74.4,7.62,2,41,372
70,379,500,75.8,8.81,2,49,379
80,381,500,76.2,9.18,2,50,381
90,388,500,77.6,10.74,2,56,388
100,391,500,78.2,11.65,2,66,391
120,398,500,79.6,13.64,2,81,398
150,403,500,80.6,15.74,2,88,403
180,408,500,81.6,18.87,2,109,408
200,415,500,83.0,22.19,3,135,415
500,440,500,88.0,41.12,3,235,440
750,448,500,89.6,57.68,3,344,448
1000,454,500,90.8,73.31,3,486,454
