K,source,hits,total,pct
10,jira,49,60,81.67
10,linear,34,44,77.27
10,confluence,40,64,62.5
10,github,22,39,56.41
10,gmail,19,42,45.24
10,slack,34,57,59.65
10,google_drive,23,42,54.76
10,hubspot,19,33,57.58
10,fireflies,7,21,33.33
10,ALL,303,500,60.6
20,jira,50,60,83.33
20,linear,37,44,84.09
20,confluence,44,64,68.75
20,github,26,39,66.67
20,gmail,23,42,54.76
20,slack,36,57,63.16
20,google_drive,30,42,71.43
20,hubspot,21,33,63.64
20,fireflies,8,21,38.1
20,ALL,334,500,66.8
50,jira,55,60,91.67
50,linear,40,44,90.91
50,confluence,48,64,75.0
50,github,29,39,74.36
50,gmail,29,42,69.05
50,slack,39,57,68.42
50,google_drive,33,42,78.57
50,hubspot,23,33,69.7
50,fireflies,9,21,42.86
50,ALL,366,500,73.2
100,jira,59,60,98.33
100,linear,42,44,95.45
100,confluence,49,64,76.56
100,github,33,39,84.62
100,gmail,34,42,80.95
100,slack,43,57,75.44
100,google_drive,33,42,78.57
100,hubspot,27,33,81.82
100,fireflies,9,21,42.86
100,ALL,391,500,78.2
200,jira,59,60,98.33
200,linear,43,44,97.73
200,confluence,55,64,85.94
200,github,34,39,87.18
200,gmail,38,42,90.48
200,slack,47,57,82.46
200,google_drive,34,42,80.95
200,hubspot,29,33,87.88
200,fireflies,10,21,47.62
200,ALL,415,500,83.0
500,jira,60,60,100.0
500,linear,44,44,100.0
500,confluence,58,64,90.62
500,github,37,39,94.87
500,gmail,41,42,97.62
500,slack,50,57,87.72
500,google_drive,40,42,95.24
500,hubspot,31,33,93.94
500,fireflies,12,21,57.14
500,ALL,440,500,88.0
1000,jira,60,60,100.0
1000,linear,44,44,100.0
1000,confluence,61,64,95.31
1000,github,38,39,97.44
1000,gmail,42,42,100.0
1000,slack,53,57,92.98
1000,google_drive,41,42,97.62
1000,hubspot,32,33,96.97
1000,fireflies,15,21,71.43
1000,ALL,454,500,90.8
