K,hits,n,hit_rate_pct,mean_rank,p50_rank,p95_rank,n_hits_with_rank
10,306,500,61.2,2.35,1,8,306
20,337,500,67.4,3.51,1,15,337
30,348,500,69.6,4.41,1,17,348
40,362,500,72.4,5.73,1,29,362
50,369,500,73.8,6.55,2,35,369
60,376,500,75.2,7.59,2,39,376
70,387,500,77.4,9.37,2,51,387
80,390,500,78.0,10.08,2,56,390
90,392,500,78.4,10.49,2,58,392
100,394,500,78.8,11.01,2,63,394
120,400,500,80.0,13.02,2,69,400
150,407,500,81.4,16.37,2,95,407
180,416,500,83.2,19.63,2,119,416
200,419,500,83.8,21.31,2,132,419
500,437,500,87.4,39.55,3,229,437
750,442,500,88.4,53.47,3,337,442
1000,447,500,89.4,68.5,3,394,447
