K,hits,n,hit_rate_pct,mean_rank,p50_rank,p95_rank,n_hits_with_rank
10,301,500,60.2,2.35,1,8,301
20,330,500,66.0,3.49,1,14,330
30,344,500,68.8,4.46,1,20,344
40,353,500,70.6,5.43,1,26,353
50,363,500,72.6,6.6,2,33,363
60,370,500,74.0,7.56,2,41,370
70,377,500,75.4,8.78,2,46,377
80,381,500,76.2,9.49,2,51,381
90,386,500,77.2,10.69,2,57,386
100,387,500,77.4,10.92,2,60,387
120,395,500,79.0,12.9,2,70,395
150,400,500,80.0,15.28,2,88,400
180,406,500,81.2,18.45,2,108,406
200,412,500,82.4,20.98,3,125,412
500,436,500,87.2,39.65,3,243,436
750,444,500,88.8,56.17,3,311,444
1000,448,500,89.6,70.11,3,449,448
