K,hits,n,hit_rate_pct,mean_rank,p50_rank,p95_rank,n_hits_with_rank
10,288,500,57.6,2.29,1,8,288
20,318,500,63.6,3.72,1,15,318
30,335,500,67.0,5.01,1,23,335
40,345,500,69.0,6.16,2,28,345
50,350,500,70.0,6.68,2,31,350
60,362,500,72.4,8.46,2,40,362
70,367,500,73.4,9.24,2,46,367
80,368,500,73.6,9.79,2,53,368
90,372,500,74.4,10.6,2,57,372
100,375,500,75.0,11.45,2,58,375
120,383,500,76.6,13.48,2,71,383
150,391,500,78.2,15.93,2,94,391
180,394,500,78.8,17.37,2,103,394
200,397,500,79.4,20.53,2,120,397
500,430,500,86.0,47.33,3,265,430
750,438,500,87.6,59.97,4,391,438
1000,446,500,89.2,76.85,4,470,446
