combo,jv_K,bm_K,source,hits,total,pct
jv100+bm100,100,100,jira,54,60,90.0
jv100+bm100,100,100,linear,40,44,90.91
jv100+bm100,100,100,confluence,57,64,89.06
jv100+bm100,100,100,github,36,39,92.31
jv100+bm100,100,100,gmail,41,42,97.62
jv100+bm100,100,100,slack,45,57,78.95
jv100+bm100,100,100,google_drive,37,42,88.1
jv100+bm100,100,100,hubspot,28,33,84.85
jv100+bm100,100,100,fireflies,16,21,76.19
jv100+bm100,100,100,ALL,422,500,84.4
jv100+bm500,100,500,jira,58,60,96.67
jv100+bm500,100,500,linear,42,44,95.45
jv100+bm500,100,500,confluence,60,64,93.75
jv100+bm500,100,500,github,36,39,92.31
jv100+bm500,100,500,gmail,41,42,97.62
jv100+bm500,100,500,slack,47,57,82.46
jv100+bm500,100,500,google_drive,39,42,92.86
jv100+bm500,100,500,hubspot,30,33,90.91
jv100+bm500,100,500,fireflies,17,21,80.95
jv100+bm500,100,500,ALL,438,500,87.6
jv100+bm1000,100,1000,jira,59,60,98.33
jv100+bm1000,100,1000,linear,42,44,95.45
jv100+bm1000,100,1000,confluence,61,64,95.31
jv100+bm1000,100,1000,github,36,39,92.31
jv100+bm1000,100,1000,gmail,41,42,97.62
jv100+bm1000,100,1000,slack,48,57,84.21
jv100+bm1000,100,1000,google_drive,41,42,97.62
jv100+bm1000,100,1000,hubspot,31,33,93.94
jv100+bm1000,100,1000,fireflies,20,21,95.24
jv100+bm1000,100,1000,ALL,447,500,89.4
jv100+bm2000,100,2000,jira,60,60,100.0
jv100+bm2000,100,2000,linear,44,44,100.0
jv100+bm2000,100,2000,confluence,62,64,96.88
jv100+bm2000,100,2000,github,38,39,97.44
jv100+bm2000,100,2000,gmail,41,42,97.62
jv100+bm2000,100,2000,slack,53,57,92.98
jv100+bm2000,100,2000,google_drive,41,42,97.62
jv100+bm2000,100,2000,hubspot,32,33,96.97
jv100+bm2000,100,2000,fireflies,21,21,100.0
jv100+bm2000,100,2000,ALL,460,500,92.0
jv100+bm5000,100,5000,jira,60,60,100.0
jv100+bm5000,100,5000,linear,44,44,100.0
jv100+bm5000,100,5000,confluence,63,64,98.44
jv100+bm5000,100,5000,github,39,39,100.0
jv100+bm5000,100,5000,gmail,42,42,100.0
jv100+bm5000,100,5000,slack,54,57,94.74
jv100+bm5000,100,5000,google_drive,41,42,97.62
jv100+bm5000,100,5000,hubspot,32,33,96.97
jv100+bm5000,100,5000,fireflies,21,21,100.0
jv100+bm5000,100,5000,ALL,464,500,92.8
jv500+bm100,500,100,jira,56,60,93.33
jv500+bm100,500,100,linear,42,44,95.45
jv500+bm100,500,100,confluence,58,64,90.62
jv500+bm100,500,100,github,37,39,94.87
jv500+bm100,500,100,gmail,42,42,100.0
jv500+bm100,500,100,slack,47,57,82.46
jv500+bm100,500,100,google_drive,39,42,92.86
jv500+bm100,500,100,hubspot,28,33,84.85
jv500+bm100,500,100,fireflies,16,21,76.19
jv500+bm100,500,100,ALL,433,500,86.6
jv500+bm500,500,500,jira,59,60,98.33
jv500+bm500,500,500,linear,42,44,95.45
jv500+bm500,500,500,confluence,61,64,95.31
jv500+bm500,500,500,github,37,39,94.87
jv500+bm500,500,500,gmail,42,42,100.0
jv500+bm500,500,500,slack,48,57,84.21
jv500+bm500,500,500,google_drive,40,42,95.24
jv500+bm500,500,500,hubspot,30,33,90.91
jv500+bm500,500,500,fireflies,17,21,80.95
jv500+bm500,500,500,ALL,444,500,88.8
jv500+bm1000,500,1000,jira,59,60,98.33
jv500+bm1000,500,1000,linear,42,44,95.45
jv500+bm1000,500,1000,confluence,62,64,96.88
jv500+bm1000,500,1000,github,37,39,94.87
jv500+bm1000,500,1000,gmail,42,42,100.0
jv500+bm1000,500,1000,slack,49,57,85.96
jv500+bm1000,500,1000,google_drive,41,42,97.62
jv500+bm1000,500,1000,hubspot,31,33,93.94
jv500+bm1000,500,1000,fireflies,20,21,95.24
jv500+bm1000,500,1000,ALL,451,500,90.2
jv500+bm2000,500,2000,jira,60,60,100.0
jv500+bm2000,500,2000,linear,44,44,100.0
jv500+bm2000,500,2000,confluence,62,64,96.88
jv500+bm2000,500,2000,github,38,39,97.44
jv500+bm2000,500,2000,gmail,42,42,100.0
jv500+bm2000,500,2000,slack,53,57,92.98
jv500+bm2000,500,2000,google_drive,41,42,97.62
jv500+bm2000,500,2000,hubspot,32,33,96.97
jv500+bm2000,500,2000,fireflies,21,21,100.0
jv500+bm2000,500,2000,ALL,461,500,92.2
jv500+bm5000,500,5000,jira,60,60,100.0
jv500+bm5000,500,5000,linear,44,44,100.0
jv500+bm5000,500,5000,confluence,63,64,98.44
jv500+bm5000,500,5000,github,39,39,100.0
jv500+bm5000,500,5000,gmail,42,42,100.0
jv500+bm5000,500,5000,slack,54,57,94.74
