rank_by_size,jv_K,bm_K,hits,hit_rate_pct,mean_union_size,is_pareto_optimal
1,100,100,422,84.4,187.3,YES
2,500,100,433,86.6,573.7,YES
3,100,500,438,87.6,573.8,YES
4,500,500,444,88.8,928.5,YES
5,1000,100,439,87.8,1066.0,no
6,100,1000,447,89.4,1066.3,YES
7,500,1000,451,90.2,1397.3,YES
8,1000,500,447,89.4,1397.4,no
9,1000,1000,453,90.6,1844.8,YES
10,2000,100,443,88.6,2057.4,no
11,100,2000,460,92.0,2057.8,YES
12,2000,500,450,90.0,2358.8,no
13,500,2000,461,92.2,2359.1,YES
14,1000,2000,461,92.2,2775.8,no
15,2000,1000,455,91.0,2776.0,no
16,2000,2000,461,92.2,3659.4,no
17,5000,100,452,90.4,5045.4,no
18,100,5000,464,92.8,5045.7,YES
19,5000,500,456,91.2,5298.3,no
20,500,5000,464,92.8,5298.3,no
21,1000,5000,464,92.8,5661.0,no
22,5000,1000,460,92.0,5661.7,no
23,5000,2000,464,92.8,6450.6,no
24,2000,5000,464,92.8,6451.0,no
25,5000,5000,466,93.2,9028.6,YES
