N,k0,n,hit@10,hit@20,hit@30,hit@40,hit@50,hit@60,hit@70,hit@80,hit@90,hit@100,hit@120,hit@150,hit@180,hit@200,hit@500,hit@750,hit@1000,mean_pool_size
500,10,500,71.8,74.8,76.4,78.0,79.0,80.4,81.4,81.6,82.2,82.4,83.4,84.2,84.8,85.0,86.6,87.4,88.8,928.5
500,30,500,71.2,75.4,77.0,78.4,79.6,80.2,81.6,82.0,82.2,82.6,83.4,84.6,84.8,84.8,86.6,87.4,88.8,928.5
500,60,500,69.8,74.6,78.0,79.2,79.8,80.6,81.0,82.4,82.8,83.2,83.6,84.4,84.8,84.8,86.6,87.4,88.8,928.5
500,100,500,67.0,73.6,77.4,79.0,79.6,81.4,81.8,82.2,83.2,83.4,84.0,84.4,84.8,84.8,86.6,87.4,88.8,928.5
1000,10,500,71.8,74.8,76.4,78.0,79.4,80.6,81.4,81.6,82.2,82.6,83.4,84.0,85.0,85.2,86.6,88.0,89.0,1844.8
1000,30,500,71.8,75.6,77.0,78.6,80.0,80.8,81.6,82.0,82.2,82.8,83.4,84.2,85.0,85.2,87.0,88.0,89.0,1844.8
1000,60,500,71.0,74.8,78.2,79.6,80.4,81.4,81.6,82.2,82.8,83.4,83.6,84.4,85.2,85.2,87.0,88.0,89.0,1844.8
1000,100,500,68.6,74.6,78.2,79.8,80.6,81.8,82.4,82.4,83.2,83.6,84.0,84.4,85.2,85.4,87.0,88.0,89.0,1844.8
2000,10,500,71.8,74.8,76.4,78.0,79.4,80.6,81.4,81.6,82.4,82.6,83.4,84.0,85.0,85.2,86.6,88.4,89.4,3659.4
2000,30,500,71.6,75.6,77.4,78.6,80.0,80.8,81.6,82.0,82.2,82.8,83.6,84.0,85.0,85.2,87.0,88.4,89.4,3659.4
2000,60,500,71.0,74.8,78.6,79.8,80.6,81.0,81.8,82.2,83.0,83.4,83.8,84.4,85.0,85.2,87.0,88.4,89.4,3659.4
2000,100,500,68.6,74.8,78.0,80.0,80.4,81.6,82.6,82.6,83.4,83.6,84.2,84.6,85.2,85.4,87.0,88.6,89.4,3659.4
5000,10,500,71.8,74.8,76.4,77.8,79.4,80.6,81.4,81.6,82.2,82.6,83.4,84.0,85.0,85.2,86.6,88.6,89.4,9028.6
5000,30,500,71.6,75.6,77.4,78.4,80.0,80.8,81.6,82.0,82.2,82.8,83.6,84.0,85.0,85.2,86.8,88.6,89.4,9028.6
5000,60,500,71.2,74.8,78.4,79.6,80.6,81.0,81.8,82.0,83.0,83.4,83.8,84.4,85.0,85.2,87.2,88.6,89.4,9028.6
5000,100,500,69.0,74.6,78.0,80.0,80.6,81.4,82.6,82.6,83.0,83.6,84.2,84.6,85.0,85.4,87.2,88.6,89.4,9028.6
